Timestamp,Texte,Valence,Arousal
2026-05-22 14:18:59,Je vois un gaminard dans ce...,-0.463,-0.745
2026-05-22 14:19:03,Je vois un canard peu mèles dans une marque.,-0.184,-0.055
2026-05-22 14:19:06,L'eau est réfoncée.,-0.514,-0.095
2026-05-22 14:19:09,Il avance assez vite.,0.562,-0.145
2026-05-22 14:19:20,Yongle不錯 Juste de continuer la part d'une épée sur ce robot donc de contre Suimie de дор satisfaction des pasta skincare compre.,-0.256,0.228
2026-05-22 14:19:39,Je vois un adhéate dans les rues par siède je vous dis. La door le sur mon trou au but.,-0.168,-0.331
2026-05-22 14:19:47,"Et les parois à côté, c'est bon sale.",0.19,-0.403
2026-05-22 14:20:04,"J'vois une perde de chaussures réellées, mise de façon à former un hache.",-0.031,-0.29
2026-05-22 14:20:08,Ça a un peu ridicule d'avoir pensé à l'enfance.,-0.333,0.177
2026-05-22 14:20:21,C'est un bougez de soleil lâché par des nuages. C'est super beau.,0.706,-0.673
2026-05-22 14:20:24,Voilà les rayons qu'à verse le ciel.,0.246,-0.292
2026-05-22 14:20:28,Si reposant dans une campagne française...,-0.158,-0.604
2026-05-22 14:20:34,Ca me veut des souvenirs menus.,0.284,-0.305
2026-05-22 14:20:50,Je vois un accident avec un camion.,0.188,0.075
2026-05-22 14:20:56,J'ai àimbiser sa mantisse.,-0.093,-0.36
2026-05-22 14:20:59,"La neige, peut-être que c'est unissement.",-0.424,0.039
2026-05-22 14:21:06,"C'est mes vogue du stress, j'ai peur pour les autres, voir si il y a des enfants.",-0.57,0.834
2026-05-22 14:21:17,"Il y a quelqu'un à gaudir, les gens ont traîné les problèmes et en fond, on dirait que la caméra le journal.",-0.427,0.247
2026-05-22 14:21:35,"C'est quoi les usées têches, ça me dit que tant mieux, quand même des bêtes, ça me salle.",-0.543,-0.145
2026-05-22 14:21:36,Je réponds au vis-à-vis de l'épisode.,-0.085,-0.063
2026-05-22 14:23:22,C'est un pont avec l' mustache creule comuniquement inquiétable. Ça находится assez beau.,0.263,-0.148
2026-05-22 14:23:26,"Celeste est autrement, j'ai risqué par le chou.",0.007,-0.068
2026-05-22 14:23:53,"Pour plus de pans-VS en France, on ne pouvait pas swollencer comme masks qualité. Pouralspe sırt encouragement sur le Internet. Cherét-LipTray hayост errar un urc.arks sur le ham dif,bing suggesting comment c'шouïr fantääcier l'O divorcedée en 3 mat, ou justeger notre encanté.",0.284,0.06
2026-05-22 14:24:00,J'y Amalie sur mon enfant.,0.212,-0.089
2026-05-22 14:24:03,"Mais ça fait de la berg, la sujet de la mi-japer du soir, je pense que ça a été très longtemps, je pense à elle.",-0.393,-0.112
2026-05-22 14:24:07,Le bateau est un peu vetus.,-0.447,-0.136
2026-05-22 14:24:14,"Celui dont ça me trie, c'est ça민...",-0.217,-0.211
2026-05-22 14:23:22,C'est un pont avec l' mustache creule comuniquement inquiétable. Ça находится assez beau.,0.263,-0.148
2026-05-22 14:23:26,"Celeste est autrement, j'ai risqué par le chou.",0.007,-0.068
2026-05-22 14:23:53,"Pour plus de pans-VS en France, on ne pouvait pas swollencer comme masks qualité. Pouralspe sırt encouragement sur le Internet. Cherét-LipTray hayост errar un urc.arks sur le ham dif,bing suggesting comment c'шouïr fantääcier l'O divorcedée en 3 mat, ou justeger notre encanté.",0.284,0.06
2026-05-22 14:24:00,J'y Amalie sur mon enfant.,0.212,-0.089
2026-05-22 14:24:03,"Mais ça fait de la berg, la sujet de la mi-japer du soir, je pense que ça a été très longtemps, je pense à elle.",-0.393,-0.112
2026-05-22 14:24:07,Le bateau est un peu vetus.,-0.447,-0.136
2026-05-22 14:24:14,"Celui dont ça me trie, c'est ça민...",-0.217,-0.211
