Timestamp,Texte,Valence,Arousal
2026-05-20 11:14:19,"Je vois des toilettes qui m'ont l'air résal, qui me dit qu'en peu.",-0.332,0.073
2026-05-20 11:14:22,Et ce moment va très bon.,0.201,0.01
2026-05-20 11:14:34,Je vois une épée élémentaire.,0.181,-0.31
2026-05-20 11:14:37,Plus Dominion du Vendre L'eau.,0.596,-0.733
2026-05-20 11:14:50,"Là, je vois un ciel magnifique avec un joli, je suis de soleil.",0.92,-0.315
2026-05-20 11:15:08,Je bois 2 d'air de chaussures.,-0.042,-1.0
2026-05-20 11:15:14,"Il COME, Lyric, cleric, mandated, healer, qualquer Trèsdinger, healer, intergris saddle Ultra ? Unres pirate,",-0.835,0.516
2026-05-20 11:15:28,"Je vois un purisage, un pochit de soleil avec...",0.874,-1.0
2026-05-20 11:15:50,"Donc là, je vois un bateau, un pute château qui est garé au port.",-0.121,-0.053
2026-05-20 11:15:53,Avec sa réénement de bateau.,0.283,-0.09
2026-05-20 11:16:08,"Là je vois un accident entre une voiture et un camion, donc l'accident est plutôt fort.",-0.559,0.784
2026-05-20 11:16:10,Le camion est complètement détruit.,-1.0,0.486
2026-05-20 11:16:15,Et c'est nous inquiétant.,-0.03,0.223
2026-05-20 11:16:29,Je vois un SDF dehors dans la route.,0.195,-0.284
2026-05-20 11:16:38,Je suis beaucoup tue la réformation.,-0.321,0.307
2026-05-20 11:16:48,Je vois un canard dans vous.,-0.192,-0.365
2026-05-20 11:17:01,Nous ne nihons plus augmenteur.,0.122,0.085
