Timestamp,Texte,Valence,Arousal
2026-05-22 14:34:37,Sur relieved� !,0.666,0.49
2026-05-22 14:34:57,Qui s'en seule quand tu rends ça.,-0.168,-0.108
2026-05-22 14:35:27,Au help de Mélice le p render le nez préión pour regener plans patches. a learnish en lis-cité de général des familles départementales que colorene,0.438,-1.0
2026-05-22 14:35:49,"Ça me fait peur, j'allais un accident de nœud.",-0.211,0.066
2026-05-22 14:35:55,et donc vous passez'ונה des lying consumo !,0.165,0.248
2026-05-22 14:36:16,On fait reborn avec les filles.ельзя se promener. La vingt parar libres du produit.,0.035,0.204
2026-05-22 14:36:35,Je marque une recalled de mon ab solder.,0.191,-0.17
2026-05-22 14:36:43,Vous unfamiliar.,0.076,-0.183
2026-05-22 14:36:56,"Donc cette fin ça dément… Ch wurde le passé, et la 원래 du temps en français, J con m' nue sur l'huble chocolate ira delighted pour moi. Pour avoir un JAY expresses pour la musique en160 chopped de la course et du",0.927,-0.596
2026-05-22 14:37:00,Au niveau des terrains immédiates.,-0.073,-0.339
2026-05-22 14:37:19,Et ça a raison à queremos créer une organisation.,0.151,0.319
